ship_layout,probability_map,action
"['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'M', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', '#', '#', '#', 'O', 'O', '#', 'O', '#', 'O', 'O', 'O', 'R', 'O', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', 'O', '#', '#', '#', '#', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']","[0.014620936958378074, 0.0, 0.009813588087597507, 0.005330915618932517, 0.009813588087597507, 0.015891706468662108, 0.013363636840025258, 0.011674623397844256, 0.0175992401834163, 0.013186759078084986, 0.0171369660080309, 0, 0.014596665041200711, 0.013363636840025258, 0.016790161347588428, 0.020438442133919366, 0.0171369660080309, 0.017768327987844744, 0.011464017602753148, 0.0171369660080309, 0.018302297027829154, 0.02350980447610705, 0.019313282676716323, 0.022150891571723137, 0.014554172863268834, 0.019313282676716323, 0.020243944862779036, 0.014620936958378074, 0.013429013406065783, 0.015891706468662108, 0.01214694109804894, 0.015911252647858358, 0.010999807220394706, 0.0171369660080309, 0.01098896665280731, 0.0, 0.011674623397844256, 0.014620936958378074, 0.022215563032949963, 0.011563524793675038, 0.020438442133919366, 0.01214694109804894, -0.0, 0.020069740360050364, 0.00778565209581879, 0.01544704226549992, 0.020243944862779036, 0.023085696486033345, 0.020069740360050364, 0.020438442133919366, 0.015891706468662108, 0.010301428396465289, 0.019313282676716323, 0.019257060009303505, 0.01489816252883106, 0.015300044390214552, 0.020069740360050364, 0.011464017602753148, 0.019313282676716323, 0.01128831324994082, 0.0, 0.00778565209581879, 0.015891706468662108, 0.018302297027829154, 0.011031922117614664, 0.008955631612838213, 0.013301219592600319, 0.0, 0.0, 0.004634475395535105, 0.018302297027829154, 0.0, 0.0]",down
"['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'M', 'O', 'O', 'O', 'O', 'O', '#', '#', 'R', '#', '#', '#', 'O', 'O', '#', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', 'O', '#', '#', '#', '#', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']","[0.012946898724733192, 0.0, 0.008102476080456873, 0.005823635647323555, 0.008102476080456873, 0.01509251772994014, 0.01103353298280985, 0.007813236518071467, 0.019225883473742853, 0.009465134218302395, 0.017455235358148833, 0.0, 0.011236808016395082, 0.01103353298280985, 0.01486775568200463, 0.023946430783733715, 0.017455235358148833, 0.01809832305224083, 0.007153594552889197, 0.015174852609431109, 0.019993921685917248, 0.03168423646903302, 0.022628152566341552, 0.02985282532960487, 0.01482447433533372, 0.022628152566341552, 0.02543833959263481, 0.012946898724733192, 0.010337926167903909, 0.01509251772994014, 0.009350960970877183, 0.013136942659363222, 0.008467874107136755, 0.017455235358148833, 0.007887612390077523, 0.0, 0.007813236518071467, 0.012946898724733192, 0.026028571013606613, 0.008300016217836019, 0.027544951906677034, 0.009350960970877183, -0.0, 0.025219435948655524, 0.006894226373967931, 0.013678418310496975, 0.029261055519840255, 0.02900925639369651, 0.025219435948655524, 0.027544951906677034, 0.01509251772994014, 0.012069532523721763, 0.01967197078540965, 0.02595279955021406, 0.011468906881195026, 0.01453061014457717, 0.025219435948655524, 0.007153594552889197, 0.022628152566341552, 0.010720627655803476, 0.0, 0.006894226373967931, 0.01312080458142595, 0.019993921685917248, 0.006418566587693893, 0.009121956448399998, 0.010981998900703052, 0.0, 0.0, 0.004401409138409132, 0.019993921685917248, 0.0, 0.0]",sense
"['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'M', 'O', 'O', 'O', 'O', 'O', '#', '#', 'R', '#', '#', '#', 'O', 'O', '#', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', 'O', '#', '#', '#', '#', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']","[0.012946898724733192, 0.0, 0.008102476080456873, 0.005823635647323555, 0.008102476080456873, 0.01509251772994014, 0.01103353298280985, 0.007813236518071467, 0.019225883473742853, 0.009465134218302395, 0.017455235358148833, 0.0, 0.011236808016395082, 0.01103353298280985, 0.01486775568200463, 0.023946430783733715, 0.017455235358148833, 0.01809832305224083, 0.007153594552889197, 0.015174852609431109, 0.019993921685917248, 0.03168423646903302, 0.022628152566341552, 0.02985282532960487, 0.01482447433533372, 0.022628152566341552, 0.02543833959263481, 0.012946898724733192, 0.010337926167903909, 0.01509251772994014, 0.009350960970877183, 0.013136942659363222, 0.008467874107136755, 0.017455235358148833, 0.007887612390077523, 0.0, 0.007813236518071467, 0.012946898724733192, 0.026028571013606613, 0.008300016217836019, 0.027544951906677034, 0.009350960970877183, -0.0, 0.025219435948655524, 0.006894226373967931, 0.013678418310496975, 0, 0.02900925639369651, 0.025219435948655524, 0.027544951906677034, 0.01509251772994014, 0.012069532523721763, 0.01967197078540965, 0.02595279955021406, 0.011468906881195026, 0.01453061014457717, 0.025219435948655524, 0.007153594552889197, 0.022628152566341552, 0.010720627655803476, 0.0, 0.006894226373967931, 0.01312080458142595, 0.019993921685917248, 0.006418566587693893, 0.009121956448399998, 0.010981998900703052, 0.0, 0.0, 0.004401409138409132, 0.019993921685917248, 0.0, 0.0]",down
"['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'R', 'O', '#', '#', 'M', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', '#', '#', '#', 'O', 'O', '#', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', 'O', '#', '#', '#', '#', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']","[0.02095745720459053, 0.0, 0.014296881728016055, 0.006492357098560239, 0.014296881728016055, 0.016825574358202828, 0.016135107542613956, 0.016762076785993434, 0.021433569784574724, 0.019187470894115707, 0.016092648412787514, 0.0, 0.021354828662064566, 0.016135107542613956, 0.024066794686411742, 0.022077129493637885, 0.022598925164366568, 0.02343151724202798, 0.01613510754261396, 0.0245638998890582, 0.014296881728016061, 0.0, 0.020861758435760713, 0.014722945970449338, 0.01919293433925997, 0.011159850498805059, 0.018189974844663573, 0.016762076785993434, 0.019646561702803385, 0.02207084503583695, 0.015136626039607293, 0.023180236955177073, 0.016092648412787514, 0.016092648412787514, 0.013917753084068805, 0.0, 0.016762076785993434, 0.016762076785993434, 0.012836883627939217, 0.016825574358202828, 0.0, 0.015136626039607293, -0.0, 0.006436488647645262, 0.011159850498805059, 0.022141585600039936, -0.0, 0.007403724248028332, 0.018033445297485844, 0.0, 0.016825574358202828, 0.011127363190796696, 0.025468885780880426, 0.012799514328741794, 0.021795917580130157, 0.02124912824458183, 0.006436488647645262, 0.01613510754261396, 0.011159850498805059, 0.015677524181983184, 0.0, 0.011159850498805059, 0.023151761191806022, 0.014296881728016061, 0.015136626039607286, 0.011810004671965928, 0.019377822021499957, 0.0, 0.0, 0.0064364886476452636, 0.02228980095025, 0.0, 0.0]",sense
"['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'R', 'O', '#', '#', 'M', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', '#', '#', '#', 'O', 'O', '#', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', 'O', '#', '#', '#', '#', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']","[0.02095745720459053, 0.0, 0.014296881728016055, 0.006492357098560239, 0.014296881728016055, 0.016825574358202828, 0.016135107542613956, 0.016762076785993434, 0.021433569784574724, 0.019187470894115707, 0.016092648412787514, 0.0, 0.021354828662064566, 0.016135107542613956, 0.024066794686411742, 0.022077129493637885, 0.022598925164366568, 0.02343151724202798, 0.01613510754261396, 0.0245638998890582, 0.014296881728016061, 0.0, 0.020861758435760713, 0.014722945970449338, 0.01919293433925997, 0.011159850498805059, 0.018189974844663573, 0.016762076785993434, 0.019646561702803385, 0.02207084503583695, 0.015136626039607293, 0.023180236955177073, 0.016092648412787514, 0.016092648412787514, 0.013917753084068805, 0.0, 0.016762076785993434, 0.016762076785993434, 0.012836883627939217, 0.016825574358202828, 0.0, 0.015136626039607293, -0.0, 0.006436488647645262, 0.011159850498805059, 0.022141585600039936, -0.0, 0.007403724248028332, 0.018033445297485844, 0, 0.016825574358202828, 0.011127363190796696, 0.025468885780880426, 0.012799514328741794, 0.021795917580130157, 0.02124912824458183, 0.006436488647645262, 0.01613510754261396, 0.011159850498805059, 0.015677524181983184, 0.0, 0.011159850498805059, 0.023151761191806022, 0.014296881728016061, 0.015136626039607286, 0.011810004671965928, 0.019377822021499957, 0.0, 0.0, 0.0064364886476452636, 0.02228980095025, 0.0, 0.0]",down
"['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', 'R', 'O', '#', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'M', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', '#', '#', '#', 'O', 'O', '#', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', 'O', '#', '#', '#', '#', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']","[0.018392784956302786, 0.0, 0.011699023570001363, 0.007029317269101593, 0.011699023570001363, 0.020954720483463373, 0.01746958590944723, 0.011118194726225532, 0.023206265449972965, 0.013649753170001026, 0.021495131715144392, 0.0, 0.016293101725334498, 0.01746958590944723, 0.021121616755953688, 0.025636218541547656, 0.02281381506360292, 0.02365432413848311, 0.0099787858131618, 0.021557888628236592, 0.020481158844317313, 0.0, 0.024224915588517013, 0.019665604737768877, 0.019375437166107533, 0.017146370026656064, 0.022653957027346815, 0.016921464941197104, 0.014989744635389135, 0.020774399568425136, 0.015280558019591826, 0.018968201853794383, 0.0122782140643146, 0.021495131715144392, 0.013100221726610586, 0.0, 0.011118194726225532, 0.01946431776014018, 0.019723020187173368, 0.0119695262705727, 0.0, 0.015280558019591826, -0.0, 0.010606288507391483, 0.009794161971331589, 0.01943200544596134, -0.0, 0.01220013577317295, 0.022459013732177024, 0.0, 0.01821715882277893, 0.012921223052690953, 0.025711065719054887, 0.017096455432877144, 0.016629639504479835, 0.020000950571529005, 0.009220664260916495, 0.0099787858131618, 0.014906337989868691, 0.014756623548909598, 0.0, 0.009794161971331589, 0.01894490036517684, 0.020481158844317313, 0.008728393241458545, 0.011922304292212525, 0.015856716232084147, 0.0, 0.0, 0.006058408129217535, 0.024133312503586038, 0.0, 0.0]",sense
"['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', 'R', 'O', '#', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'M', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', '#', '#', '#', 'O', 'O', '#', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', 'O', '#', '#', '#', '#', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']","[0.018392784956302786, 0.0, 0.011699023570001363, 0.007029317269101593, 0.011699023570001363, 0.020954720483463373, 0.01746958590944723, 0.011118194726225532, 0.023206265449972965, 0.013649753170001026, 0.021495131715144392, 0.0, 0.016293101725334498, 0.01746958590944723, 0.021121616755953688, 0.025636218541547656, 0.02281381506360292, 0.02365432413848311, 0.0099787858131618, 0.021557888628236592, 0.020481158844317313, 0.0, 0.024224915588517013, 0.019665604737768877, 0.019375437166107533, 0.017146370026656064, 0.022653957027346815, 0.016921464941197104, 0.014989744635389135, 0.020774399568425136, 0.015280558019591826, 0.018968201853794383, 0.0122782140643146, 0.021495131715144392, 0.013100221726610586, 0.0, 0.011118194726225532, 0.01946431776014018, 0.019723020187173368, 0.0119695262705727, 0.0, 0.015280558019591826, -0.0, 0.010606288507391483, 0.009794161971331589, 0.01943200544596134, -0.0, 0, 0.022459013732177024, 0.0, 0.01821715882277893, 0.012921223052690953, 0.025711065719054887, 0.017096455432877144, 0.016629639504479835, 0.020000950571529005, 0.009220664260916495, 0.0099787858131618, 0.014906337989868691, 0.014756623548909598, 0.0, 0.009794161971331589, 0.01894490036517684, 0.020481158844317313, 0.008728393241458545, 0.011922304292212525, 0.015856716232084147, 0.0, 0.0, 0.006058408129217535, 0.024133312503586038, 0.0, 0.0]",right
"['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', 'R', '#', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'M', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', '#', '#', '#', 'O', 'O', '#', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', 'O', '#', '#', '#', '#', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']","[0.02335580944178732, 0.0, 0.015846555384218915, 0.006868544433721897, 0.015846555384218915, 0.015609334063594318, 0.017070025788307616, 0.017519415237831876, 0.022675497389272978, 0.02057153221909564, 0.01324147071443538, 0.0, 0.02335580944178732, 0.017070025788307616, 0.026820976661583243, 0.022177385198447547, 0.024675448407943383, 0.025584543982523664, 0.016362670631735975, 0.02737497012902492, 0.009785705987880434, 0.0, 0.020956494950131792, 0.006480535351398156, 0.02095649495013179, 0.005650355460083603, 0.016875108564737184, 0.018302275791192906, 0.021487475201902653, 0.02449324614323854, 0.016527468992179883, 0.02569279901152995, 0.01760055468908683, 0.01324147071443538, 0.01544530585464226, 0.0, 0.017519415237831876, 0.016838196003518418, 0.0, 0.018039263586359745, 0.0, 0.016527468992179883, -0.0, 0.001808720140726245, 0.012436973584363745, 0.024675448407943376, -0.0, -0.0, 0.016729893789853192, 0.0, 0.01780050039574015, 0.011177894290851526, 0.02780911802322581, 0.010531790032046875, 0.02383822907999893, 0.02358134124809003, 0.004405547076518134, 0.016362670631735975, 0.009182629842331065, 0.017398221866103868, 0.0, 0.012436973584363745, 0.025661236691161653, 0.009785705987880434, 0.014833219279220489, 0.012895177928203638, 0.021478231108780922, 0.0, 0.0, 0.007142929982470319, 0.023581341248090026, 0.0, 0.0]",sense
"['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', 'R', '#', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'M', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', '#', '#', '#', 'O', 'O', '#', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', 'O', '#', '#', '#', '#', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']","[0.02335580944178732, 0.0, 0.015846555384218915, 0.006868544433721897, 0.015846555384218915, 0.015609334063594318, 0.017070025788307616, 0.017519415237831876, 0.022675497389272978, 0.02057153221909564, 0.01324147071443538, 0.0, 0.02335580944178732, 0.017070025788307616, 0.026820976661583243, 0.022177385198447547, 0.024675448407943383, 0.025584543982523664, 0.016362670631735975, 0.02737497012902492, 0.009785705987880434, 0.0, 0.020956494950131792, 0.006480535351398156, 0.02095649495013179, 0.005650355460083603, 0.016875108564737184, 0.018302275791192906, 0.021487475201902653, 0.02449324614323854, 0.016527468992179883, 0.02569279901152995, 0.01760055468908683, 0.01324147071443538, 0.01544530585464226, 0.0, 0.017519415237831876, 0.016838196003518418, 0, 0.018039263586359745, 0.0, 0.016527468992179883, -0.0, 0.001808720140726245, 0.012436973584363745, 0.024675448407943376, -0.0, -0.0, 0.016729893789853192, 0.0, 0.01780050039574015, 0.011177894290851526, 0.02780911802322581, 0.010531790032046875, 0.02383822907999893, 0.02358134124809003, 0.004405547076518134, 0.016362670631735975, 0.009182629842331065, 0.017398221866103868, 0.0, 0.012436973584363745, 0.025661236691161653, 0.009785705987880434, 0.014833219279220489, 0.012895177928203638, 0.021478231108780922, 0.0, 0.0, 0.007142929982470319, 0.023581341248090026, 0.0, 0.0]",down
"['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', 'R', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'M', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', '#', '#', '#', 'O', 'O', '#', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', 'O', '#', '#', '#', '#', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']","[0.026023024546316352, 0.0, 0.018685452448669884, 0.006110959988520553, 0.018685452448669884, 0.011107551644254567, 0.012146975152168922, 0.023630542113069506, 0.020174442868175813, 0.026664261607923775, 0.005204169738496341, 0.0, 0.028954385789063338, 0.015187241722310079, 0.029883911142543844, 0.01782540875518697, 0.023930981511455778, 0.024812649355044934, 0.02287351415819794, 0.030501170229096423, 0.004958677549848959, 0.0, 0.01684409975384566, 0.0025469833897102806, 0.020324230178328875, 0.0007926131974721891, 0.01200827268617373, 0.017750089738414083, 0.02663819672700712, 0.025584172120891542, 0.016028829480387162, 0.030295642337594304, 0.021819549942788424, 0.00811365091977263, 0.013741724611226807, 0.0, 0.023630542113069506, 0.01031752797235141, -0.0, 0.023382003749555184, 0.0, 0.013284203157318455, -0.0, 0.0004902894451762624, 0.013857266204986576, 0.027493365246524033, -0.0, -0.0, 0.011904938321942605, 0.0, 0.015837146682775128, 0.008984401586290124, 0.02697010721999583, 0.006453306413102088, 0.02955244531475925, 0.024631651101059165, 0.0022324079029340345, 0.02287351415819794, 0.0056266146467354805, 0.018173136391018432, 0.0, 0.013857266204986576, 0.030258425654087248, 0.0026526095726061203, 0.021414389631148462, 0.01250612590640634, 0.025326038141029725, 0.0, 0.0, 0.00746107514905472, 0.0209803742602624, 0.0, 0.0]",sense
"['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', 'R', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'M', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', '#', '#', '#', 'O', 'O', '#', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', 'O', '#', '#', '#', '#', 'O', '#', 'O', 'O', 'O', '#', 'O', 'O', '#', '#', '#', '#', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', '#', '#', '#', 'O', 'O', '#', 'O', 'O', 'O', '#', '#', 'O', 'O', '#', '#', 'O', 'O', 'O', 'O', '#', 'O', 'O', 'O', 'O', 'O', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']","[0.026023024546316352, 0.0, 0.018685452448669884, 0.006110959988520553, 0.018685452448669884, 0.011107551644254567, 0.012146975152168922, 0.023630542113069506, 0.020174442868175813, 0.026664261607923775, 0.005204169738496341, 0.0, 0.028954385789063338, 0.015187241722310079, 0.029883911142543844, 0.01782540875518697, 0.023930981511455778, 0.024812649355044934, 0.02287351415819794, 0.030501170229096423, 0.004958677549848959, 0.0, 0.01684409975384566, 0.0025469833897102806, 0.020324230178328875, 0.0007926131974721891, 0.01200827268617373, 0.017750089738414083, 0.02663819672700712, 0.025584172120891542, 0.016028829480387162, 0.030295642337594304, 0.021819549942788424, 0.00811365091977263, 0.013741724611226807, 0.0, 0.023630542113069506, 0.01031752797235141, -0.0, 0.023382003749555184, 0.0, 0.013284203157318455, -0.0, 0.0004902894451762624, 0.013857266204986576, 0.027493365246524033, -0.0, 0, 0.011904938321942605, 0.0, 0.015837146682775128, 0.008984401586290124, 0.02697010721999583, 0.006453306413102088, 0.02955244531475925, 0.024631651101059165, 0.0022324079029340345, 0.02287351415819794, 0.0056266146467354805, 0.018173136391018432, 0.0, 0.013857266204986576, 0.030258425654087248, 0.0026526095726061203, 0.021414389631148462, 0.01250612590640634, 0.025326038141029725, 0.0, 0.0, 0.00746107514905472, 0.0209803742602624, 0.0, 0.0]",up
